rep,Salinity,Concentration,Concentration.1,Size,average.length.mm,average.width.mm,W/L,AverageW/L,SD,,,,,,,
R1C,15,0,0,Control,3.62,0.57,1.102209945,,,,,,,,,
R1A,15,0,0,Control,4.29,0.66,1.076923077,,,,,,,,,
R1B,15,0,0,Control,3.74,0.52,0.973262032,,,,,,,,,
R1A,15,0,0,Control,4.65,0.58,0.87311828,,,,,,,,,
R1B,15,0,0,Control,3.98,0.64,1.125628141,,,,,,,,,
R1C,15,0,0,Control,3,0.59,1.376666667,,,,,,,,,
R1,15,0,0,Control,3.45,0.58,1.176811594,,,,,,,,,
R2,15,0,0,Control,4.21,0.52,0.864608076,,,,,,Control,M_C1,M_C2,M_C3
R3,15,0,0,Control,4.15,0.64,1.079518072,1.072082876,0.149067881,,,15,1.072082876,0.873589531,0.952141812,0.970102864
R1,15,60,1,Micro,3.53,0.37,0.733711048,,,,,20,1.11474819,1.010216372,0.926058114,0.916058181
R2,15,60,1,Micro,2.97,0.43,1.013468013,0.873589531,0.139878483,,,25,1.168466323,1.22674491,0.950930857,1.127525692
R1,15,6000,2,Micro,2.53,0.32,0.885375494,,,,,SE,,,,
R2,15,6000,2,Micro,2.14,0.31,1.014018692,,,,,,Control,M_C1,M_C2,M_C3
R3,15,6000,2,Micro,2.56,0.35,0.95703125,0.952141812,0.052632044,,,15,1.072082876,0.873589531,1.076839962,1.088579022
R1,15,60000,3,Micro,3.06,0.31,0.709150327,,,,,20,1.11474819,1.086276227,1.094903236,1.127525692
R2,15,60000,3,Micro,2.57,0.33,0.898832685,,,,,25,1.168466323,0.93776302,1.113291525,1.181069418
R3,15,60000,3,Micro,2.58,0.48,1.302325581,0.970102864,0.247351032,,,,,,,
R1,15,60,1,Nano,3.53,0.37,0.733711048,,,,,,,,,
R2,15,60,1,Nano,2.97,0.43,1.013468013,0.873589531,0.139878483,,,,,,,
R1A,15,6000,2,Nano,2.95,0.44,1.044067797,,,,,,,,,
R1B,15,6000,2,Nano,2.99,0.48,1.123745819,,,,,,,,,
R1C,15,6000,2,Nano,3.03,0.46,1.062706271,1.076839962,0.171430111,,,,,,,
R1,15,60000,3,Nano,2.84,0.45,1.10915493,,,,,,,,,
R2,15,60000,3,Nano,2.48,0.42,1.185483871,,,,,,,,,
R3,15,60000,3,Nano,3.46,0.48,0.971098266,1.088579022,0.088723627,,,,,,,
R1A,20,0,0,Control,3.34,0.59,1.236526946,,,,,,,,,
R1B,20,0,0,Control,3.45,0.38,0.771014493,,,,,,,,,
R1C,20,0,0,Control,3.97,0.72,1.269521411,,,,,,,,,
R1A,20,0,0,Control,3.85,0.62,1.127272727,,,,,,,,,
R1B,20,0,0,Control,3.46,0.55,1.112716763,,,,,,,,,
R1C,20,0,0,Control,3.39,0.55,1.135693215,,,,,,,,,
R1,20,0,0,Control,2.99,0.4,0.936454849,,,,,,,,,
R2,20,0,0,Control,3.31,0.57,1.205438066,,,,,,,,,
R3,20,0,0,Control,2.94,0.52,1.238095238,1.11474819,0.153754862,,,,,,,
R1,20,60,1,Micro,2.87,0.3,0.731707317,,,,,,,,,
R2,20,60,1,Micro,2.45,0.36,1.028571429,,,,,,,,,
R3,20,60,1,Micro,2.7,0.49,1.27037037,1.010216372,0.220290947,,,,,,,
R1,20,6000,2,Micro,2.92,0.36,0.863013699,,,,,,,,,
R2,20,6000,2,Micro,2.49,0.37,1.040160643,,,,,,,,,
R3,20,6000,2,Micro,2.64,0.33,0.875,0.926058114,0.080830927,,,,,,,
R1,20,60000,3,Micro,2.19,0.31,0.99086758,,,,,,,,,
R2,20,60000,3,Micro,2.13,0.29,0.953051643,,,,,,,,,
R3,20,60000,3,Micro,2.35,0.27,0.804255319,0.916058181,0.080549865,,,,,,,
R1A,20,60,1,Nano,3.44,0.58,1.180232558,,,,,,,,,
R1B,20,60,1,Nano,4.01,0.53,0.925187032,,,,,,,,,
R1C,20,60,1,Nano,3.52,0.58,1.153409091,1.086276227,0.114432429,,,,,,,
R1A,20,6000,2,Nano,3.36,0.58,1.208333333,,,,,,,,,
R1B,20,6000,2,Nano,4.12,0.63,1.07038835,,,,,,,,,
R1C,20,6000,2,Nano,3.34,0.48,1.005988024,1.094903236,0.084406322,,,,,,,
R1,20,60000,3,Nano,2.38,0.48,1.411764706,,,,,,,,,
R2,20,60000,3,Nano,2.53,0.39,1.079051383,,,,,,,,,
R3,20,60000,3,Nano,2.5,0.42,1.176,1.127525692,0.048474308,,,,,,,
R1A,25,0,0,Control,4.18,0.66,1.105263158,,,,,,,,,
R1B,25,0,0,Control,4.38,0.48,0.767123288,,,,,,,,,
R1C,25,0,0,Control,3.25,0.48,1.033846154,,,,,,,,,
R1A,25,0,0,Control,3.54,0.52,1.028248588,,,,,,,,,
R1B,25,0,0,Control,3.1,0.45,1.016129032,,,,,,,,,
R1C,25,0,0,Control,2.92,0.47,1.126712329,,,,,,,,,
R1,25,0,0,Control,3.5,0.75,1.5,,,,,,,,,
R2,25,0,0,Control,2.79,0.61,1.53046595,,,,,,,,,
R3,25,0,0,Control,3.33,0.67,1.408408408,1.168466323,0.241829838,,,,,,,
R1,25,60,1,Micro,2.51,0.43,1.199203187,,,,,,,,,
R2,25,60,1,Micro,2.76,0.41,1.039855072,,,,,,,,,
R3,25,60,1,Micro,2.04,0.42,1.441176471,1.22674491,0.164992174,,,,,,,
R1,25,6000,2,Micro,2.5,0.33,0.924,,,,,,,,,
R2,25,6000,2,Micro,2.28,0.36,1.105263158,,,,,,,,,
R3,25,6000,2,Micro,2.89,0.34,0.823529412,0.950930857,0.116583101,,,,,,,
R1,25,60000,3,Micro,2.7,0.32,0.82962963,,,,,,,,,
R2,25,60000,3,Micro,2.2,0.2,0.636363636,,,,,,,,,
R3,25,60000,3,Micro,2.53,0.35,0.968379447,0.811457571,0.136152592,,,,,,,
R1A,25,60,1,Nano,3.52,0.43,0.855113636,,,,,,,,,
R1B,25,60,1,Nano,3.53,0.59,1.169971671,,,,,,,,,
R1C,25,60,1,Nano,3.73,0.42,0.788203753,0.93776302,0.166452949,,,,,,,
R1A,25,6000,2,Nano,3.63,0.48,0.925619835,,,,,,,,,
R1B,25,6000,2,Nano,3.23,0.63,1.365325077,,,,,,,,,
R1C,25,6000,2,Nano,3.27,0.49,1.048929664,1.113291525,0.185188214,,,,,,,
R1,25,60000,3,Nano,3.28,0.54,1.152439024,,,,,,,,,
R2,25,60000,3,Nano,2.6,0.42,1.130769231,,,,,,,,,
R3,25,60000,3,Nano,2.5,0.45,1.26,1.181069418,0.075291984,,,,,,,
