Dark.Light,Salinity,Size,Concentration,Distance_moved_Total,Velocity_Mean,Meander,Turn angle,Angular velocity,In_zone_Frequency,In_zone_Cumulative_duration,Movement,Freezing_Mean,Freezing_Frequency,Freezing_duration
Dark,25,o,Cont,37.7592,0.314614,4441.6,2.5707,77.0889,3,119.951,30,3.80269,31,117.883
Dark,20,S,C2,42.6861,0.356358,223.71,0.244263,7.32405,21,94.6736,14,7.9167,15,118.75
Dark,15,o,Cont,30.506,0.254179,-1913.25,0.518319,15.5426,24,33.9811,8,13.1797,9,118.617
Dark,20,o,Cont,38.6408,0.322139,-40.7723,-1.82788,-54.8135,30,97.8082,14,7.93448,15,119.017
Dark,20,S,C2,123.402,1.0282,108.377,1.33467,40.0228,98,23.3433,151,0.667389,152,101.443
Dark,20,o,Cont,58.4767,0.487234,854.02,0.362552,10.8709,35,21.8426,76,1.48721,77,114.515
Dark,25,S,C1,29.7646,0.248002,-776.116,-1.48511,-44.5341,4,113.582,0,120.018,1,120.018
Dark,20,o,Cont,44.449,0.370354,-556.46,-1.7965,-53.8729,32,46.4531,37,3.07762,38,116.95
Dark,25,o,Cont,30.0527,0.250402,-1656.38,-0.368531,-11.0507,36,82.4017,10,11.9217,10,119.217
Dark,15,S,C2,16.8155,0.140186,5157.24,2.26446,67.9043,4,2.20093,2,39.9281,3,119.784
Dark,25,o,Cont,68.1489,0.569883,700.657,3.25743,97.682,34,53.9229,53,2.13671,54,115.382
Dark,25,S,C2,3.19981,0.0266612,67943.1,95.5713,2865.92,0,0,0,120.018,1,120.018
Dark,20,o,Cont,76.3443,0.640558,-146.385,0.405577,12.1613,34,54.7899,21,4.8868,24,117.283
Dark,20,S,C2,35.8561,0.301353,-855.993,0.0842792,2.52744,17,20.9422,7,13.213,9,118.917
Dark,20,o,Cont,6.64182,0.0553404,27487.6,6.78227,203.382,0,0,0,120.018,1,120.018
Dark,25,S,C2,151.346,1.26843,52.1541,1.43466,43.0213,71,56.6574,84,1.26485,85,107.512
Dark,20,o,Cont,105.962,0.900401,255.305,0.417764,12.5279,53,52.5223,60,1.60427,65,104.278
Dark,25,S,C1,14.6055,0.121695,-3691.75,-3.79646,-113.847,1,120.018,0,120.018,1,120.018
Dark,20,o,Cont,39.5393,0.329446,602.552,-0.357603,-10.7238,32,68.6292,3,29.921,4,119.684
Dark,20,S,C2,48.679,0.407301,-1124.7,2.34058,70.1884,12,60.4583,15,6.58976,18,118.616
Dark,25,o,Cont,73.393,0.616148,412.827,0.453971,13.6135,31,25.4438,34,2.97901,36,107.244
Dark,15,o,Cont,47.5882,0.398508,1132.42,0.740258,22.1982,20,43.4513,12,9.00628,13,117.082
Dark,15,S,C2,88.5878,0.765572,-326.7,-0.909723,-27.2805,33,42.5509,39,2.15165,44,94.6724
Dark,15,S,C1,136.901,1.14069,4.47762,2.42333,72.6699,38,44.5517,40,1.96097,41,80.3999
Dark,15,o,Cont,77.9717,0.650761,47.9636,0.202304,6.06669,23,64.7934,17,6.25814,18,112.647
Dark,20,S,C1,67.4154,0.565173,21.3824,0.843823,25.3044,38,64.0598,19,5.32341,22,117.115
Dark,25,o,Cont,100.02,0.833847,55.0438,1.2019,36.0422,24,30.3125,42,2.31336,43,99.4744
Dark,15,S,C2,12.1139,0.100935,1216.71,1.41415,42.4077,5,119.716,0,120.016,1,120.016
Dark,15,o,Cont,116.294,0.972757,-163.751,-1.31428,-39.4117,42,19.4082,35,2.77803,36,100.009
Dark,20,S,C1,25.3295,0.211048,3660.24,-0.183276,-5.4958,2,108.413,1,59.592,2,119.184
Dark,15,o,Cont,98.6441,0.821913,560.316,-0.0565768,-1.69702,24,76.6326,28,3.13007,29,90.7719
Dark,25,S,C1,82.8352,0.692115,-617.915,0.445237,13.3516,62,78.3333,16,5.95623,18,107.212
Dark,15,o,Cont,78.7077,0.662799,91.7696,0.868235,26.0365,22,61.993,34,3.39066,34,115.282
Dark,20,S,C2,126.262,1.12619,-557.091,-4.89922,-146.915,65,76.2324,74,0.711706,76,54.0896
Dark,20,o,Cont,23.0308,0.192108,-1616.14,2.29562,68.8378,7,72.7642,5,19.9696,6,119.818
Dark,25,S,C2,64.239,0.535247,-110.491,0.768707,23.0519,43,44.4522,8,12.9388,9,116.449
Dark,15,o,Cont,90.4362,0.753524,-709.775,-1.93848,-58.1296,28,52.4223,49,2.15025,50,107.512
Dark,20,S,C1,25.6025,0.213323,1004.16,0.955951,28.6673,9,116.85,2,39.917,3,119.751
Dark,25,S,C2,112.833,0.975664,388.238,-1.5242,-45.7072,20,3.53478,70,1.28691,71,91.3708
Dark,25,o,Cont,81.9973,0.694804,656.532,0.366286,10.9841,25,34.7142,53,1.8262,55,100.441
Dark,20,S,C1,58.0801,0.486777,-272.812,1.21074,36.3073,27,89.2366,12,7.83655,15,117.548
Dark,15,S,C2,87.3758,0.745859,519.662,1.81766,54.5073,46,89.2699,76,1.41468,78,110.345
Dark,20,S,C2,16.9454,0.141193,2398.66,-0.660947,-19.8203,1,120.016,0,120.016,1,120.016
Dark,25,o,Cont,3.26063,0.0271683,36136.7,79.3102,2378.33,0,0,0,120.016,1,120.016
Dark,15,o,Cont,63.4795,0.542338,-843.202,0.95372,28.5999,28,81.5668,26,3.8556,29,111.812
Dark,20,S,C1,97.7173,0.825441,246.474,0.641532,19.2381,55,49.8538,54,1.85133,58,107.377
Dark,15,S,C2,126.413,1.10811,-53.5364,0.743819,22.3054,61,49.0534,57,1.51876,68,103.276
Dark,15,S,C1,57.9661,0.48298,-194.166,0.977319,29.3068,14,17.374,7,14.8563,8,118.85
Dark,25,S,C2,76.9898,0.64688,172.839,1.45339,43.5832,40,34.2479,28,4.0541,28,113.515
Dark,15,o,Cont,41.6302,0.34706,804.767,0.404971,12.144,32,31.8802,26,4.37593,27,118.15
Dark,15,S,C1,69.9042,0.58245,920.156,1.35623,40.6695,11,117.016,4,23.8901,5,119.451
Dark,20,o,Cont,106.691,0.89368,1027.75,-1.03141,-30.9295,40,32.0136,25,4.6193,25,115.482
Dark,20,o,Cont,16.9913,0.141574,-2502.84,0.765197,22.947,1,120.018,0,120.018,1,120.018
Dark,15,S,C2,12.7932,0.106594,1886.98,4.71057,141.256,1,120.018,0,120.018,1,120.018
Dark,20,S,C1,85.5677,0.728547,581.927,1.79574,53.8497,36,57.958,28,4.12644,27,111.414
Dark,25,S,C2,11.8608,0.0988254,2454.21,7.60755,228.129,1,120.018,0,120.018,1,120.018
Dark,15,o,Cont,20.6026,0.171663,50.8847,-0.166659,-4.99831,1,120.018,0,120.018,1,120.018
Dark,15,o,Cont,68.258,0.56874,-1035.03,-1.02302,-30.6781,52,48.0532,14,7.7632,15,116.448
Dark,20,S,C2,233.226,2.62731,2201.54,7.98578,239.476,62,7.96996,106,0.784985,113,88.7033
Dark,20,o,Cont,66.4849,0.556751,-62.6464,-0.0803714,-2.41028,23,86.5357,14,7.04291,15,105.644
Dark,20,o,Cont,38.1097,0.317803,3711.64,-1.50471,-45.1225,17,92.038,6,16.6211,7,116.348
Dark,15,S,C1,67.1289,0.562144,-79.9832,-0.273453,-8.20002,11,105.11,12,9.58451,12,115.014
Dark,25,o,Cont,58.1555,0.485373,-272.53,0.14597,4.37745,28,33.6472,17,6.36189,18,114.514
Dark,25,o,Cont,289.252,2.95234,-57.5744,3.73333,111.954,113,20.1416,117,0.175072,84,14.7061
Dark,20,S,C1,85.0777,0.708885,-154.482,-0.508653,-15.2533,53,58.024,20,5.51974,21,115.915
Dark,25,S,C1,62.8702,0.523847,684.763,0.069672,2.08923,30,84.9684,22,4.91942,23,113.147
Dark,15,S,C2,37.101,0.309129,-746.202,0.0833129,2.49854,22,96.4743,0,120.018,1,120.018
Dark,20,o,Cont,65.6364,0.548108,918.777,0.377017,11.3054,22,76.5325,13,7.91892,15,118.784
Dark,20,o,Cont,128.453,1.07626,1.28667,0.794836,23.8353,52,50.0879,50,1.53665,50,76.8326
Dark,15,S,C1,8.2442,0.0686915,36087.8,58.7062,1760.44,0,0,0,120.018,1,120.018
Dark,25,S,C1,74.465,0.6299,573.378,-1.02204,-30.6477,21,48.9541,41,2.67323,43,114.949
Dark,15,S,C2,132.304,1.1076,187.663,-2.05975,-61.7663,34,15.2732,68,1.17103,69,80.801
Dark,20,o,Cont,18.3094,0.152556,1205.64,1.82117,54.611,1,120.018,0,120.018,1,120.018
Dark,25,o,Cont,35.5,0.29579,3459.42,3.37183,101.114,31,44.0854,10,11.3815,10,113.815
Dark,20,o,Cont,87.6283,0.732367,852.307,0.471299,14.1329,28,50.3214,10,10.7955,11,118.75
Dark,25,S,C1,73.1028,0.609778,213.494,0.343126,10.2889,34,52.2555,22,4.98038,23,114.549
Dark,25,o,Cont,0.100633,0.000838481,10732.1,180,5397.73,0,0,0,120.018,1,120.018
Dark,15,o,Cont,62.6684,0.578766,194.051,-0.0456514,-1.36986,23,42.1846,32,2.219,48,106.512
Dark,20,S,C1,54.4286,0.478641,4165.23,11.0489,331.326,18,24.5771,43,2.29388,47,107.812
Dark,25,o,Cont,25.5779,0.213118,6474.44,4.31337,129.346,1,120.018,2,39.9614,3,119.884
Dark,25,o,Cont,8.63092,0.0719137,40647.2,28.0834,842.144,0,0,0,120.018,1,120.018
Dark,25,o,Cont,23.8827,0.198993,-1762.74,2.34205,70.2307,1,120.018,1,59.9755,2,119.951
Dark,20,S,C2,53.2566,0.44374,1066.49,0.579744,17.3851,28,71.8639,27,4.1208,28,115.382
Dark,15,o,Cont,54.3295,0.452679,17.7826,2.34816,70.4138,43,78.1665,14,7.66326,15,114.949
Dark,20,o,Cont,34.5343,0.287904,8708.35,1.50826,45.2285,8,34.9148,20,5.50393,21,115.582
Dark,20,S,C2,9.09422,0.075774,-4953.71,-1.79809,-53.9198,1,120.018,0,120.018,1,120.018
Dark,20,o,Cont,43.3624,0.3613,3353.28,-1.52718,-45.7945,30,21.4091,53,2.14103,54,115.616
Dark,25,S,C1,53.6511,0.447275,-4.90342,-0.383906,-11.511,15,72.2974,23,4.69644,24,112.715
Dark,20,o,Cont,64.0805,0.535115,-330.762,0.180159,5.40218,36,29.5125,46,2.4592,47,115.582
Dark,25,o,Cont,44.6287,0.371852,-94.9837,-2.23458,-67.0087,20,23.2766,55,2.06754,56,115.783
Dark,15,S,C2,36.499,0.304114,2481.06,0.447828,13.4287,69,44.1854,7,14.7188,8,117.75
Dark,25,o,Cont,101.028,0.857747,-887.503,0.0584649,1.75393,12,1.73407,81,1.27157,84,106.812
Dark,25,S,C2,2.9837,0.0248605,49763.4,83.1436,2493.25,0,0,0,120.018,1,120.018
Dark,20,o,Cont,124.513,1.07016,144.402,0.649432,19.4751,47,46.8199,60,1.70019,63,107.112
Dark,20,S,C2,50.1169,0.41758,-2424.45,-0.503286,-15.0911,7,8.73705,1,59.9088,2,119.818
Dark,20,o,Cont,6.40065,0.0533309,26885.8,13.9611,418.656,0,0,0,120.018,1,120.018
Dark,25,S,C2,150.906,1.3472,49.3487,-0.0374409,-1.12335,54,40.8173,91,1.0171,96,97.6415
Dark,20,o,Cont,113.75,0.973751,-74.5182,-0.236277,-7.08489,39,53.8896,63,1.47487,66,97.3414
Dark,25,S,C1,29.0968,0.24291,1946.37,-1.13954,-34.1718,7,46.6532,9,11.7583,10,117.583
Dark,20,o,Cont,36.2842,0.302324,-1465.38,-1.17012,-35.0885,12,76.9994,5,19.9196,6,119.517
Dark,20,S,C2,85.957,0.722636,-112.741,1.46272,43.8637,11,7.60314,51,2.04206,55,112.313
Dark,25,o,Cont,81.0837,0.680904,-1769.48,-0.967834,-29.0233,20,70.229,38,2.35624,38,89.537
Dark,15,o,Cont,27.5857,0.229978,1230.05,-1.1648,-34.9295,6,93.572,8,13.161,9,118.449
Dark,15,S,C2,96.8914,0.816163,622.508,1.28678,38.5868,28,22.7761,43,2.35779,44,103.743
Dark,15,S,C1,173.827,1.45078,40.1975,1.69209,50.7419,44,25.6439,55,0.583574,56,32.6802
Dark,15,o,Cont,105.5,0.880024,-24.5087,1.78592,53.5555,29,58.2574,46,2.10377,46,96.7733
Dark,20,S,C1,86.9889,0.726829,16.6911,-0.981543,-29.4342,31,46.9194,24,4.54721,25,113.68
Dark,25,o,Cont,110.502,0.922772,101.02,2.10511,63.1276,35,58.891,36,2.44082,36,87.8696
Dark,15,S,C2,12.6043,0.105022,318.629,1.68554,50.546,4,118.316,0,120.016,1,120.016
Dark,15,o,Cont,136.926,1.1431,-20.9956,-1.93548,-58.0398,46,12.2385,46,1.73194,47,81.4013
Dark,20,S,C1,52.8891,0.440923,9166.28,4.67616,140.226,14,25.9444,19,5.8158,20,116.316
Dark,15,o,Cont,129.324,1.0863,174.873,-0.102881,-3.08521,38,43.3851,42,1.70154,41,69.763
Dark,25,S,C1,69.0135,0.575667,-664.47,0.157342,4.71787,31,82.6351,24,4.2418,25,106.045
