Dark-Light,Size,Salinity,Concentration,Distance_moved_Total,Velocity_Mean,Meander,Turn angle,Angular velocity,In_zone_Frequency,In_zone_Cumulative_duration,Movement_Mean,Movement,Freezing_Mean,Freezing_Frequency,Freezing_duration,,
Dark_1,L,5,Dark_1-MC1-5,0.104811,0.0523838,13739.1,180,5397.79,1,120.032,,0,2.00082,1,2.00082,,
Dark_1,L,5,Dark_1-MC1-5,0.856288,0.427971,-5544.03,-2.18336,-65.4748,1,120.032,0.266774,1,0.867017,2,1.73403,,L- Mico
Dark_2,L,5,Dark_2-MC1-5,0.112792,0.0563731,-7802.1,-127.71,-3829.74,1,120.032,,0,2.00082,1,2.00082,,S- Nano
Dark_2,L,5,Dark_2-MC1-5,0.877325,0.438486,5928.7,-19.5096,-585.051,1,119.965,,0,2.00081,1,2.00081,,LT- Leachate
Dark_3,L,5,Dark_3-MC1-5,0.106958,0.0534569,11772.6,180,5397.79,1,120.032,,0,2.00082,1,2.00082,,
Dark_3,L,5,Dark_3-MC1-5,0.563021,0.281397,5160.32,13.5461,406.213,1,120.032,,0,2.00081,1,2.00081,,C1- 60 part/ml
Light_1,L,5,Light_1-MC1-5,0.292335,0.146108,10603,141.48,4242.65,1,120.032,,0,2.00082,1,2.00082,,C2- 6000 part/ml
Light_1,L,5,Light_1-MC1-5,0.398888,0.199363,-6778.37,8.58973,257.594,12,117.865,,0,2.00081,1,2.00081,,"C23- 60,000 part/ml"
Light_2,L,5,Light_2-MC1-5,0.168634,0.0842827,7167.87,96.0414,2880.06,1,120.032,,0,2.00082,1,2.00082,,
Light_2,L,5,Light_2-MC1-5,0.565498,0.282635,-6847.78,-3.81835,-114.504,2,119.532,,0,2.00081,1,2.00081,,
Light_3,L,5,Light_3-MC1-5,0.148251,0.0740953,11899.6,180,5397.79,1,120.032,,0,2.00082,1,2.00082,,
Light_3,L,5,Light_3-MC1-5,0.658863,0.329299,-44135.2,-30.5728,-916.82,4,118.932,,0,2.00081,1,2.00081,,
Dark_1,L,5,Dark_1-MC2-5,0.558331,0.279052,-4557.32,2.57108,77.0947,1,120.032,,0,2.00081,1,2.00081,,
Dark_1,L,5,Dark_1-MC2-5,0,0,,,,1,120.032,,0,2.00082,1,2.00082,,
Dark_1,L,5,Dark_1-MC2-5,0.039688,0.0198359,13017.3,180,5397.79,1,120.032,,0,2.0008,1,2.0008,,
Dark_2,L,5,Dark_2-MC2-5,0.388849,0.194346,-68996.6,-1.79586,-53.8618,1,120.032,0.233427,1,0.88369,2,1.76738,,
Dark_2,L,5,Dark_2-MC2-5,0,0,,,,1,120.032,,0,2.00082,1,2.00082,,
Dark_2,L,5,Dark_2-MC2-5,1.93794,0.968599,8308.6,104.188,3124.4,1,120.032,0.033347,1,0.983727,2,1.96745,,
Dark_3,L,5,Dark_3-MC2-5,0.613004,0.316943,-20161.7,-6.78575,-203.489,1,120.032,0.066694,1,0.967057,2,1.93411,,
