Rep,Salinity,Concentration,Concentration.1,Particles 
3,5,0,0.01,0
2,5,0,0.01,0
1,5,0,0.01,0
2,15,0,0.01,0
3,15,0,0.01,0
1,15,0,0.01,0
1,25,0,0.01,0
2,25,0,0.01,0
3,25,0,0.01,0
1,5,60,60.01,0
2,5,60,60.01,0
3,5,60,60.01,0
2,15,60,60.01,0
3,15,60,60.01,0
2,25,60,60.01,0
3,25,60,60.01,0
1,25,60,60.01,0
3,5,6000,6000.01,0
2,5,6000,6000.01,0
1,15,6000,6000.01,1
3,15,6000,6000.01,0
2,15,6000,6000.01,2
2,25,6000,6000.01,0
1,25,6000,6000.01,0
3,5,60000,60000.01,2
2,5,60000,60000.01,2
1,15,60000,60000.01,3
2,25,60000,60000.01,0
3,25,60000,60000.01,0
